iter	RMSE
274	0.3030038593
275	0.302866734
276	0.302537425
277	0.3024084676
278	0.3020255329
279	0.3016934108
280	0.3014582528
281	0.3012066481
282	0.3009083425
283	0.300700568
284	0.3004679637
285	0.3002471567
286	0.3001236229
287	0.2997746247
288	0.2996569298
289	0.299466284
290	0.299342084
291	0.299228774
292	0.299106871
293	0.298868057
294	0.2987874634
295	0.2985756824
296	0.2983977486
297	0.2982859109
298	0.2980110665
299	0.2978850428
300	0.2974917723
301	0.2973753599
302	0.2970055403
303	0.2968952078
304	0.2966232854
305	0.2961708355
306	0.2960500446
307	0.2957644406
308	0.2954995853
309	0.2954159187
310	0.2952852237
311	0.2951627415
312	0.2949142238
313	0.2947355467
314	0.2945336679
315	0.2944217988
316	0.2940849704
317	0.2937841477
318	0.2936042657
319	0.2932904269
320	0.2931874068
321	0.292846912
322	0.29273979
323	0.2926363359
324	0.292575312
325	0.2923205284
326	0.2921548709
327	0.2917137614
328	0.2914090808
329	0.2913689985
330	0.2913071325
331	0.291080605
332	0.2908498181
333	0.2906653209
334	0.290471592
335	0.2903657618
336	0.2902604216
337	0.2900704346
338	0.2898438135
339	0.2897684737
340	0.2896755036
341	0.2894395483
342	0.2892543694
343	0.2891611962
344	0.2889742422
345	0.2887847832
346	0.2887405529
347	0.2884953964
348	0.2883846515
349	0.288294335
350	0.2882038861
351	0.2880824924
352	0.287777881
353	0.28769091
354	0.2876061666
355	0.2872192955
356	0.287151752
357	0.2868350847
358	0.2866114755
359	0.2863947353
360	0.2861709275
361	0.2860901102
362	0.2860067373
363	0.285800409
364	0.2856326306
365	0.2855694591
366	0.2853563936
367	0.2851321478
368	0.2849023096
369	0.2846691099
370	0.2844663825
371	0.284248968
372	0.2841539627
373	0.2838026904
374	0.2836256069
375	0.283457098
376	0.28341646
377	0.2832666734
378	0.2831905497
379	0.2831255004
380	0.2830506545
381	0.2829089586
382	0.2826665753
383	0.2825158267
384	0.2824002127
385	0.2820200904
386	0.281794855
387	0.2816713601
388	0.2813805252
389	0.2810786059
390	0.2809247602
391	0.280780124
392	0.280696649
393	0.2805517397
394	0.2803833516
395	0.2802470477
396	0.280069929
397	0.2798691906
398	0.2798052696
399	0.2797332514
400	0.2796028328
401	0.2795427039
402	0.2793632022
403	0.2791489714
404	0.2789751389
405	0.278865705
406	0.2788296631
407	0.2786015965
408	0.2785506345
409	0.2782906644
410	0.2780674793
411	0.2779239873
412	0.2778679341
413	0.2776691314
414	0.2774069409
415	0.277315679
416	0.2770604496
417	0.2769531364
418	0.2765116465
419	0.2762534236
420	0.2761252802
421	0.2758201212
422	0.2756413129
423	0.275596428
424	0.2753892967
425	0.2753179543
426	0.2750932236
427	0.2748858197
428	0.2747096516
429	0.274498482
430	0.2742270773
431	0.2740200013
432	0.2739311112
433	0.2738581035
434	0.2736665676
435	0.2736066116
436	0.2735452737
437	0.2734296112
438	0.2733726913
439	0.273129389
440	0.2729091695
441	0.2728090017
442	0.2726301971
443	0.2723416648
444	0.2722214136
445	0.2720791519
446	0.2719530718
447	0.271831314
448	0.2717446034
449	0.271622542
450	0.2715074563
451	0.2713129081
452	0.2711051256
453	0.2706722334
454	0.2705399893
455	0.2704286843
456	0.2701807771
457	0.2700432924
458	0.2697927204
459	0.2696897039
460	0.2695811739
461	0.2695194436
462	0.2694346326
463	0.2690369632
464	0.2688482452
465	0.2686351176
466	0.2685860776
467	0.2684155359
468	0.2682320414
469	0.2680436407
470	0.2679529041
471	0.2679174551
472	0.267816966
473	0.2676582835
474	0.2675005691
475	0.267458825
476	0.2671928507
477	0.2668832632
478	0.2667975159
479	0.2664548654
480	0.2663881692
481	0.2662482343
482	0.2660367833
483	0.2659950379
484	0.2657067649
485	0.2653037593
486	0.2651075979
487	0.2648382695
488	0.264687979
489	0.264435962
490	0.264363989
491	0.2641231275
492	0.2639773982
493	0.2638759629
494	0.2637808738
495	0.2636309693
496	0.2634479922
497	0.2633453048
498	0.2633006134
499	0.262902439
500	0.2627075082
501	0.2625547698
502	0.262261124
503	0.2619888406
504	0.2618111099
505	0.2617679106
506	0.261583453
507	0.2612510443
508	0.2610727572
509	0.2609910718
510	0.2607628632
511	0.2605894553
512	0.260443808
513	0.2602999139
514	0.260066362
515	0.2599115981
516	0.2595395595
517	0.2591721087
518	0.2590413774
519	0.258861034
520	0.258719486
521	0.2584951873
522	0.2583819135
523	0.2582123721
524	0.258134761
525	0.257952006
526	0.2577313488
527	0.257603993
528	0.2574732413
529	0.2572982878
530	0.2571994539
531	0.2571614046
532	0.2570985955
533	0.2569855692
534	0.2568450587
535	0.2566597212
536	0.2566019833
537	0.2564638848
538	0.2563173247
539	0.2561789857
540	0.2559097788
541	0.2556467026
542	0.2555325673
543	0.2554281942
544	0.255125475
545	0.255017465
546	0.2548834566
547	0.2547848068
548	0.254685188
549	0.2545548781
550	0.2543544546
551	0.2541748548
552	0.2540288643
553	0.2537127405
554	0.2536930957
555	0.2536208494
556	0.2536045346
557	0.253311836
558	0.2531234847
559	0.2530639957
560	0.2529334063
561	0.2527605564
562	0.2527388053
563	0.2524883398
564	0.2523956249
565	0.2521803005
566	0.2521171722
567	0.2519939639
568	0.2518713459
569	0.2517961042
570	0.2516479293
571	0.2514432738
572	0.2512971535
573	0.2512040056
574	0.2509748703
575	0.2508338954
576	0.2507117427
577	0.2506427066
578	0.250514208
579	0.2502629813
580	0.2501376834
581	0.2500550667
582	0.2499363995
583	0.2498211814
584	0.2497457704
585	0.2495789578
586	0.2494637799
587	0.2493221219
588	0.2491571917
589	0.249086606
590	0.2489484782
591	0.2487122888
592	0.2483935985
593	0.2481362948
594	0.2480335448
595	0.2479163277
596	0.2476498804
597	0.2475841954
598	0.2474173876
599	0.2473315642
600	0.2470038018
601	0.2468086572
602	0.2467670096
603	0.2464908126
604	0.2463532057
605	0.2461917823
606	0.2459643566
607	0.2458035205
608	0.2456327418
609	0.2453937572
610	0.2451750319
611	0.2449631416
612	0.2446832656
613	0.2445026083
614	0.2443802397
615	0.2443154063
616	0.2442808562
617	0.2440825466
618	0.2438980719
619	0.2437435357
620	0.2435345897
621	0.2434261729
622	0.243242248
623	0.2431655146
624	0.243102465
625	0.2430806103
626	0.2428103731
627	0.2426803848
628	0.2425391696
629	0.242413355
630	0.2423168201
631	0.2422444316
632	0.2420445958
633	0.2419708312
634	0.2418742269
635	0.241698035
636	0.2416136153
637	0.2414574915
638	0.2413256161
639	0.2411054077
640	0.2410117607
641	0.2408943092
642	0.240615543
643	0.2405931443
644	0.240484099
645	0.2403510354
646	0.2402565555
647	0.240090259
648	0.2399705698
649	0.2397140352
650	0.2396522329
651	0.2395583898
652	0.2394345741
653	0.2392955067
654	0.2391915394
655	0.2390801863
656	0.2390488859
657	0.2388752758
658	0.2387777941
659	0.2387037916
660	0.2385497946
661	0.2383616972
662	0.2381223295
663	0.2380904416
664	0.2378710368
665	0.237747882
666	0.2375985525
667	0.2375039296
668	0.2373812962
669	0.2372700527
670	0.2370984748
671	0.2370136874
672	0.2369142542
673	0.2368835635
674	0.236768092
675	0.2366541353
676	0.2365331914
677	0.2365143702
678	0.2364250856
679	0.2364001843
680	0.2363159545
681	0.2362661741
682	0.2360939913
683	0.2360035391
684	0.2358519809
685	0.235743093
686	0.2355380624
687	0.2355260934
688	0.2354907501
689	0.2354020685
690	0.2353543927
691	0.2352147543
692	0.2351391873
693	0.2349363611
694	0.234908849
695	0.2347468937
696	0.2345700526
697	0.2344543805
698	0.2343377946
699	0.234173034
700	0.2341289432
701	0.2338969943
702	0.2338791753
703	0.2336968134
704	0.2335705111
705	0.2333557782
706	0.2332223794
707	0.2329871434
708	0.2328448813
709	0.232634465
710	0.2325248139
711	0.2322784119
712	0.2321650948
713	0.2320860217
714	0.2320044696
715	0.2318038518
716	0.2316145098
717	0.23158556
718	0.2314492918
719	0.2313060019
720	0.2312793431
721	0.2311457001
722	0.2310414528
723	0.2309135696
724	0.2307763255
725	0.2305262791
726	0.230371933
727	0.2302461217
728	0.2301244765
729	0.2299377052
730	0.2298586673
731	0.2297521432
732	0.229640451
733	0.2294525553
734	0.2292657508
735	0.22915804
736	0.2290893774
737	0.228993632
738	0.2289308608
739	0.2287246609
740	0.2287074623
741	0.22852421
742	0.2285113987
743	0.2284853282
744	0.2283889508
745	0.2281816076
746	0.2280911446
747	0.2279792954
748	0.2278661658
749	0.227709368
750	0.227636405
751	0.2276141617
752	0.2275744944
753	0.2274190041
754	0.2272569992
755	0.2272047457
756	0.2271073996
757	0.2269960225
758	0.2269389178
759	0.2268219896
760	0.2267119011
761	0.2266519496
762	0.2265302578
763	0.2263859208
764	0.226297574
765	0.2261766084
766	0.2259951283
767	0.2259072863
768	0.2257066779
769	0.2256616957
770	0.2254850293
771	0.2253966084
772	0.2252355041
773	0.225055509
774	0.2249493881
775	0.2248606812
776	0.2247524766
777	0.2245326614
778	0.2244994844
779	0.224381916
780	0.2242108351
781	0.2240707589
782	0.2239839677
783	0.2238692375
784	0.2237989704
785	0.2236036363
786	0.223515729
787	0.2234036166
788	0.2232396374
789	0.2232009537
790	0.2229742443
791	0.2228560467
792	0.2227905566
793	0.2226847748
794	0.222575695
795	0.2225113647
796	0.2223942962
797	0.2222950025
798	0.2220956582
799	0.2219868615
800	0.2217581817
801	0.2216430139
802	0.2214866992
803	0.221404316
804	0.2212251597
805	0.2211297661
806	0.2209126716
807	0.2206912802
808	0.2206680868
809	0.220472977
810	0.2204539167
811	0.2203743294
812	0.2202986927
813	0.2202145061
814	0.2201338373
815	0.2200495951
816	0.2199061935
817	0.2197308556
818	0.2195270995
819	0.219484421
820	0.2192747329
821	0.2189769152
822	0.2188552846
823	0.2186884796
824	0.2186318384
825	0.2184262102
826	0.2182444123
827	0.2180225612
828	0.2177544464
829	0.2176234993
830	0.2175148925
831	0.2173445743
832	0.2172126054
833	0.2171632371
834	0.2169909462
835	0.2168761198
836	0.2167854379
837	0.2166319032
838	0.2165282413
839	0.2165139282
840	0.2164884778
841	0.2162925462
842	0.216131502
843	0.2159410793
844	0.2157007272
845	0.2154240933
846	0.2151981374
847	0.2150274602
848	0.2149003273
849	0.214813168
850	0.2146101309
851	0.2145095302
852	0.2144353403
853	0.2144013375
854	0.2142803944
855	0.2142585313
856	0.2140759263
857	0.2139582733
858	0.213865845
859	0.2136675055
860	0.2135649716
861	0.2133484566
862	0.2132804668
863	0.2131034165
864	0.2129748296
865	0.2128056903
866	0.2127294391
867	0.2126547031
868	0.2124670185
869	0.2123094496
870	0.2122118437
871	0.2120927871
872	0.2119501345
873	0.2117822943
874	0.2116063406
875	0.2114531985
876	0.211376631
877	0.2112419404
878	0.2111679051
879	0.2108909592
880	0.2107293899
881	0.2106218772
882	0.210466179
883	0.210386987
884	0.2102339743
885	0.2102120934
886	0.2101365777
887	0.2101001719
888	0.21004462
889	0.2098825962
890	0.2097311435
891	0.2097082453
892	0.2095516342
893	0.2094633252
894	0.2093164601
895	0.2091737089
896	0.2091589791
897	0.2089710807
898	0.2089007793
899	0.2088666768
900	0.2087011668
901	0.2084862003
902	0.2084230158
903	0.2082760764
904	0.2081790656
905	0.2081476647
906	0.2079512905
907	0.2077580071
908	0.2075984515
909	0.2075782552
910	0.2074452314
911	0.2073479895
912	0.2072801213
913	0.2072294124
914	0.2071177268
915	0.2069696144
916	0.2067983796
917	0.2065512275
918	0.2064834101
919	0.2063508567
920	0.2062218646
921	0.2060807295
922	0.2059834176
923	0.2058956659
924	0.2058815876
925	0.2057869819
926	0.2056218456
927	0.2055892452
928	0.205438386
929	0.2054220795
930	0.2052454627
931	0.2050709948
932	0.2050437873
933	0.2049605079
934	0.2048930469
935	0.2047460244
936	0.2045643363
937	0.2044732714
938	0.2043730274
939	0.2042899217
940	0.2039811009
941	0.2037437499
942	0.2035970869
943	0.2035552198
944	0.2033185514
945	0.2032993776
946	0.2032066528
947	0.2030304572
948	0.2029346043
949	0.2028398997
950	0.2027422019
951	0.2026198513
952	0.2025533947
953	0.2024661637
954	0.2024414917
955	0.2022983804
956	0.2021431112
957	0.2020568755
958	0.2019902483
959	0.2019812768
960	0.201913132
961	0.2017240964
962	0.2017028879
963	0.2015376225
964	0.2014189376
965	0.2013383471
966	0.2012144688
967	0.2010952527
968	0.201003834
969	0.2009201601
970	0.2008156706
971	0.2007566843
972	0.2007027877
973	0.2006250022
974	0.2004604646
975	0.2003567384
976	0.2003096663
977	0.2001940378
978	0.2000012818
979	0.1999484836
980	0.199743516
981	0.199711057
982	0.1996105376
983	0.1995157627
984	0.1994419487
985	0.1993480827
986	0.1991566326
987	0.1990103789
988	0.1989015711
989	0.1987779097
990	0.1986840819
991	0.1986586652
992	0.1986325759
993	0.1984738806
994	0.1984050097
995	0.1982976172
996	0.1981845276
997	0.197975908
998	0.1979147013
999	0.1977858616
