iter	Passed	Remaining
444	1226	1529
445	1228	1525
446	1229	1521
447	1231	1516
448	1234	1514
449	1235	1510
450	1237	1505
451	1238	1501
452	1256	1516
453	1258	1513
454	1259	1508
455	1272	1518
456	1274	1514
457	1275	1509
458	1277	1505
459	1279	1501
460	1286	1504
461	1288	1500
462	1289	1496
463	1291	1491
464	1292	1487
465	1294	1483
466	1299	1483
467	1301	1479
468	1302	1474
469	1310	1478
470	1313	1474
471	1315	1472
472	1317	1467
473	1327	1472
474	1330	1470
475	1331	1465
476	1337	1466
477	1338	1461
478	1344	1462
479	1352	1464
480	1353	1460
481	1355	1456
482	1357	1453
483	1359	1449
484	1360	1444
485	1362	1440
486	1363	1436
487	1370	1437
488	1372	1433
489	1373	1429
490	1375	1425
491	1376	1421
492	1377	1417
493	1380	1413
494	1381	1409
495	1383	1405
496	1384	1401
497	1385	1396
498	1390	1396
499	1392	1392
500	1394	1388
501	1395	1384
502	1396	1379
503	1397	1375
504	1399	1372
505	1401	1367
506	1402	1363
507	1403	1359
508	1404	1355
509	1406	1350
510	1411	1350
511	1412	1346
512	1413	1342
513	1415	1337
514	1416	1333
515	1418	1330
516	1421	1327
517	1422	1323
518	1423	1319
519	1425	1315
520	1427	1311
521	1428	1308
522	1430	1304
523	1431	1300
524	1432	1296
525	1434	1292
526	1435	1288
527	1437	1284
528	1438	1280
529	1439	1276
530	1441	1272
531	1442	1269
532	1443	1265
533	1445	1261
534	1446	1257
535	1451	1256
536	1452	1252
537	1454	1248
538	1455	1244
539	1457	1241
540	1459	1238
541	1460	1234
542	1462	1230
543	1463	1226
544	1464	1222
545	1466	1219
546	1468	1216
547	1469	1212
548	1471	1208
549	1472	1204
550	1473	1200
551	1475	1197
552	1482	1198
553	1483	1194
554	1484	1190
555	1485	1186
556	1487	1183
557	1489	1179
558	1491	1176
559	1493	1173
560	1494	1169
561	1496	1166
562	1497	1162
563	1498	1158
564	1501	1155
565	1502	1152
566	1504	1148
567	1505	1145
568	1507	1141
569	1509	1138
570	1514	1137
571	1515	1134
572	1516	1130
573	1518	1126
574	1519	1123
575	1520	1119
576	1522	1116
577	1524	1112
578	1525	1109
579	1526	1105
580	1529	1102
581	1530	1099
582	1531	1095
583	1533	1092
584	1534	1088
585	1535	1084
586	1536	1081
587	1538	1077
588	1539	1074
589	1540	1070
590	1541	1067
591	1543	1063
592	1544	1059
593	1545	1056
594	1546	1052
595	1548	1049
596	1549	1045
597	1550	1042
598	1551	1038
599	1552	1035
600	1553	1031
601	1555	1028
602	1556	1024
603	1557	1021
604	1558	1017
605	1559	1014
606	1561	1010
607	1563	1007
608	1564	1004
609	1566	1001
610	1568	998
611	1569	995
612	1571	991
613	1572	988
614	1573	985
615	1575	981
616	1580	980
617	1581	977
618	1582	974
619	1584	970
620	1585	967
621	1587	964
622	1589	961
623	1591	958
624	1592	955
625	1594	952
626	1596	949
627	1598	946
628	1599	943
629	1600	940
630	1602	936
631	1603	933
632	1608	932
633	1610	929
634	1611	926
635	1612	923
636	1614	919
637	1617	917
638	1619	915
639	1621	912
640	1622	908
641	1623	905
642	1626	902
643	1627	899
644	1628	896
645	1630	893
646	1631	890
647	1632	886
648	1637	885
649	1639	882
650	1640	879
651	1641	876
652	1643	873
653	1644	870
654	1647	867
655	1648	864
656	1649	861
657	1651	858
658	1652	855
659	1654	852
660	1658	850
661	1659	847
662	1661	844
663	1662	841
664	1665	838
665	1667	836
666	1668	832
667	1669	829
668	1670	826
669	1672	823
670	1673	820
671	1674	817
672	1676	814
673	1677	811
674	1678	808
675	1679	805
676	1681	802
677	1682	798
678	1683	795
679	1684	792
680	1685	789
681	1686	786
682	1688	783
683	1689	780
684	1691	777
685	1692	774
686	1693	771
687	1694	768
688	1695	765
689	1697	762
690	1698	759
691	1699	756
692	1700	753
693	1701	750
694	1703	747
695	1704	744
696	1705	741
697	1706	738
698	1709	735
699	1710	733
700	1711	730
701	1713	727
702	1720	726
703	1721	723
704	1722	720
705	1724	718
706	1725	715
707	1727	712
708	1728	709
709	1730	706
710	1732	704
711	1733	701
712	1734	698
713	1736	695
714	1737	692
715	1738	689
716	1740	687
717	1743	684
718	1744	681
719	1746	679
720	1747	676
721	1748	673
722	1750	670
723	1763	672
724	1765	669
725	1787	674
726	1789	671
727	1790	668
728	1792	666
729	1794	663
730	1795	660
731	1797	657
732	1798	655
733	1799	652
734	1801	649
735	1802	646
736	1804	643
737	1809	642
738	1810	639
739	1811	636
740	1813	633
741	1814	630
742	1816	628
743	1817	625
744	1819	622
745	1820	619
746	1821	617
747	1823	614
748	1825	611
749	1826	608
750	1828	606
751	1829	603
752	1830	600
753	1832	597
754	1838	596
755	1840	593
756	1841	591
757	1842	588
758	1844	585
759	1845	582
760	1847	580
761	1849	577
762	1850	574
763	1851	572
764	1853	569
765	1854	566
766	1856	563
767	1857	561
768	1858	558
769	1859	555
770	1860	552
771	1862	549
772	1863	547
773	1865	544
774	1866	542
775	1868	539
776	1869	536
777	1870	533
778	1872	531
779	1874	528
780	1875	526
781	1877	523
782	1878	520
783	1880	517
784	1881	515
785	1884	512
786	1885	510
787	1886	507
788	1887	504
789	1889	502
790	1890	499
791	1894	497
792	1895	494
793	1896	491
794	1897	489
795	1899	486
796	1900	484
797	1902	481
798	1907	479
799	1909	477
800	1910	474
801	1911	472
802	1913	469
803	1914	466
804	1918	464
805	1921	462
806	1922	459
807	1923	457
808	1924	454
809	1926	451
810	1927	449
811	1929	446
812	1931	444
813	1932	441
814	1933	438
815	1935	436
816	1937	433
817	1938	431
818	1941	428
819	1942	426
820	1943	423
821	1945	421
822	1947	418
823	1948	416
824	1950	413
825	1951	411
826	1953	408
827	1954	406
828	1955	403
829	1957	400
830	1958	398
831	1959	395
832	1961	393
833	1962	390
834	1963	388
835	1964	385
836	1965	382
837	1967	380
838	1968	377
839	1969	375
840	1970	372
841	1972	370
842	1973	367
843	1974	364
844	1976	362
845	1977	360
846	1978	357
847	1980	354
848	1981	352
849	1982	349
850	1983	347
851	1985	344
852	1986	342
853	1987	339
854	1989	337
855	1990	334
856	1991	332
857	1992	329
858	1994	327
859	1996	325
860	1998	322
861	1999	320
862	2002	317
863	2004	315
864	2007	313
865	2009	310
866	2010	308
867	2012	305
868	2013	303
869	2014	301
870	2016	298
871	2017	296
872	2026	294
873	2027	292
874	2028	289
875	2032	287
876	2034	285
877	2036	282
878	2038	280
879	2040	278
880	2041	275
881	2043	273
882	2045	270
883	2046	268
884	2048	266
885	2050	263
886	2051	261
887	2053	258
888	2055	256
889	2057	254
890	2058	251
891	2060	249
892	2061	247
893	2063	244
894	2067	242
895	2069	240
896	2071	237
897	2072	235
898	2073	232
899	2075	230
900	2076	228
901	2078	225
902	2080	223
903	2082	221
904	2083	218
905	2084	216
906	2085	213
907	2087	211
908	2089	209
909	2091	206
910	2093	204
911	2100	202
912	2102	200
913	2103	197
914	2105	195
915	2106	193
916	2107	190
917	2109	188
918	2111	186
919	2113	183
920	2114	181
921	2115	178
922	2117	176
923	2119	174
924	2122	172
925	2124	169
926	2125	167
927	2126	164
928	2129	162
